norm_name,conference
tomasz fiechowski,DevTalks 2026
victor rentea,DevTalks 2026
vlad laslau,DevTalks 2026
vlad puescu,DevTalks 2026
vlad valentin,DevTalks 2026
winston liu,DevTalks 2026
maik kingma,J-Spring 2026
venkateshwaran kumarasamy,J-Spring 2026
piet van dongen,J-Spring 2026
sven peters,J-Spring 2026
ario afrashteh,J-Spring 2026
hinse ter schuur,J-Spring 2026
steve poole,J-Spring 2026
viktor gamov,J-Spring 2026
alejandro serrano mena,J-Spring 2026
jago de vreede,J-Spring 2026
james ward,J-Spring 2026
marit van dijk,J-Spring 2026
bruno souza,J-Spring 2026
baruch sadogursky,J-Spring 2026
susanne pieterse,J-Spring 2026
lucia conde moreno,J-Spring 2026
michael cote,J-Spring 2026
ana maria mihalceanu,J-Spring 2026
pasha finkelshteyn,J-Spring 2026
catherine edelveis,J-Spring 2026
soroosh khodami,J-Spring 2026
michael hompus,J-Spring 2026
josh long,J-Spring 2026
bouke nijhuis,J-Spring 2026
andrei shakirin,J-Spring 2026
guus de wit,J-Spring 2026
marc buma,J-Spring 2026
willem meints,J-Spring 2026
elena van engelen,J-Spring 2026
balkrishna rawool,J-Spring 2026
holly cummins,J-Spring 2026
ties van de ven,J-Spring 2026
daniel garnier moiroux,J-Spring 2026
tom cools,J-Spring 2026
nicolai parlog,J-Spring 2026
rustam mehmandarov,J-Spring 2026
gerrit grunwald,jPrime 2026
milen dyankov,jPrime 2026
victor rentea,jPrime 2026
roberto cortez,jPrime 2026
ioannis kolaxis,jPrime 2026
jonathan vila lopez,jPrime 2026
venkat subramaniam,jPrime 2026
marit van dijk,jPrime 2026
stefan angelov,jPrime 2026
ivan yonkov,jPrime 2026
cay horstmann,jPrime 2026
piotr przyby,jPrime 2026
johannes bechberger,jPrime 2026
hinse ter schuur,jPrime 2026
christian heitzmann,jPrime 2026
willem jan glerum,jPrime 2026
marcin chrost,jPrime 2026
vadym kazulkin,jPrime 2026
emanuel trandafir,jPrime 2026
arnaud jean,jPrime 2026
panche chavkovski,jPrime 2026
kristiyan stoyanov,jPrime 2026
lyubomir bozhinov,jPrime 2026
viktoriya kutsarova,jPrime 2026
kevin dubois,jPrime 2026
jordan jovkov,jPrime 2026
francois martin,jPrime 2026
thanos stratikopoulos,jPrime 2026
sergi almar,jPrime 2026
nayden gochev,jPrime 2026
alain vagner,Voxxed Days Luxembourg 2026
alexei bratuhin,Voxxed Days Luxembourg 2026
andrei shakirin,Voxxed Days Luxembourg 2026
annabelle buffart,Voxxed Days Luxembourg 2026
annelore egger,Voxxed Days Luxembourg 2026
anouk ruiz,Voxxed Days Luxembourg 2026
antoine thomas,Voxxed Days Luxembourg 2026
arnaud cormier,Voxxed Days Luxembourg 2026
aurelien coget,Voxxed Days Luxembourg 2026
badr kacimi,Voxxed Days Luxembourg 2026
baruch sadogursky,Voxxed Days Luxembourg 2026
benjamin parmentier,Voxxed Days Luxembourg 2026
camille nigon,Voxxed Days Luxembourg 2026
christian heitzmann,Voxxed Days Luxembourg 2026
christopher cacciatore,Voxxed Days Luxembourg 2026
clement hurlin,Voxxed Days Luxembourg 2026
dominique righetto,Voxxed Days Luxembourg 2026
dominique nauroy,Voxxed Days Luxembourg 2026
elise souvannavong,Voxxed Days Luxembourg 2026
esteban soubiran,Voxxed Days Luxembourg 2026
evangelista tragni,Voxxed Days Luxembourg 2026
evelien schellekens,Voxxed Days Luxembourg 2026
fabrice croiseaux,Voxxed Days Luxembourg 2026
francois martin,Voxxed Days Luxembourg 2026
giorgi dalakishvili,Voxxed Days Luxembourg 2026
giovanna monti,Voxxed Days Luxembourg 2026
guillaume lours,Voxxed Days Luxembourg 2026
helder araujo carneiro,Voxxed Days Luxembourg 2026
hussein loubani,Voxxed Days Luxembourg 2026
ines panker,Voxxed Days Luxembourg 2026
ivan ponomarev,Voxxed Days Luxembourg 2026
jens knipper,Voxxed Days Luxembourg 2026
jerome wax,Voxxed Days Luxembourg 2026
ji darwish,Voxxed Days Luxembourg 2026
julien briault,Voxxed Days Luxembourg 2026
laura schlosser,Voxxed Days Luxembourg 2026
loic mulder,Voxxed Days Luxembourg 2026
loic magnette,Voxxed Days Luxembourg 2026
loic tosser,Voxxed Days Luxembourg 2026
long le,Voxxed Days Luxembourg 2026
lucian precup,Voxxed Days Luxembourg 2026
ludovic lefebvre,Voxxed Days Luxembourg 2026
ukasz nowak,Voxxed Days Luxembourg 2026
maarten vandeperre,Voxxed Days Luxembourg 2026
marek dominiak,Voxxed Days Luxembourg 2026
marion chineaud,Voxxed Days Luxembourg 2026
martin mazur,Voxxed Days Luxembourg 2026
nicolas martignole,Voxxed Days Luxembourg 2026
oussama ghalbzouri,Voxxed Days Luxembourg 2026
pasha finkelshtein,Voxxed Days Luxembourg 2026
peter velychko,Voxxed Days Luxembourg 2026
philippe charriere,Voxxed Days Luxembourg 2026
pierre tomasina,Voxxed Days Luxembourg 2026
pierre alaime,Voxxed Days Luxembourg 2026
pierre charrasse,Voxxed Days Luxembourg 2026
pierre henriquet,Voxxed Days Luxembourg 2026
pietro mele,Voxxed Days Luxembourg 2026
piotr askawiec,Voxxed Days Luxembourg 2026
rachid zarouali,Voxxed Days Luxembourg 2026
roland weisleder,Voxxed Days Luxembourg 2026
sebastien heilig,Voxxed Days Luxembourg 2026
stephane robert,Voxxed Days Luxembourg 2026
suzy zimmer,Voxxed Days Luxembourg 2026
thomas darimont,Voxxed Days Luxembourg 2026
tine kondo,Voxxed Days Luxembourg 2026
vadim prudnikov,Voxxed Days Luxembourg 2026
victoire de lacharriere,Voxxed Days Luxembourg 2026
vincent seynhaeve,Voxxed Days Luxembourg 2026
vincent heuschling,Voxxed Days Luxembourg 2026
voxxed days luxembourg team,Voxxed Days Luxembourg 2026
wouter bauweraerts,Voxxed Days Luxembourg 2026
yannick guern,Voxxed Days Luxembourg 2026
zeljko kozina,Voxxed Days Luxembourg 2026
zied ben abderrahim,Voxxed Days Luxembourg 2026
dov katz,Code Remix Summit 2026
khalid elsawaf,Code Remix Summit 2026
dinesh arora,Code Remix Summit 2026
celal ziftci,Code Remix Summit 2026
eve matthaey,Code Remix Summit 2026
anshuman mishra,Code Remix Summit 2026
roberto perez alcolea,Code Remix Summit 2026
benjamin muschko,Code Remix Summit 2026
josh long,Code Remix Summit 2026
kiran rouzie,Code Remix Summit 2026
jonathan schneider,Code Remix Summit 2026
brian houck,Code Remix Summit 2026
kaushik vejju,Code Remix Summit 2026
aubrey chipman,Code Remix Summit 2026
ellen dewitt,Code Remix Summit 2026
rachel laycock,Code Remix Summit 2026
harald aamot,Code Remix Summit 2026
szczepan faber,Code Remix Summit 2026
stacey watro,Code Remix Summit 2026
sean sullivan,Code Remix Summit 2026
michael carducci,Code Remix Summit 2026
devin thomson,Code Remix Summit 2026
bryan friedman,Code Remix Summit 2026
prince valluri,Code Remix Summit 2026
javiera laso,Code Remix Summit 2026
guadalupe aliseda canton,Code Remix Summit 2026
marcin osiecki,Code Remix Summit 2026
ryan trontz,Code Remix Summit 2026
dania valladares,Code Remix Summit 2026
anshuman chadha,Code Remix Summit 2026
sung yoon whang,Code Remix Summit 2026
rui abreu,Code Remix Summit 2026
nachi nagappan,Code Remix Summit 2026
vinicius senger,Code Remix Summit 2026
jonathan vogel,Code Remix Summit 2026
jonatan dahl,Code Remix Summit 2026
sanjana seetharam,Code Remix Summit 2026
cory lucas,Code Remix Summit 2026
david sanchez,Code Remix Summit 2026
alex kureen,Code Remix Summit 2026
patrick vuong,Code Remix Summit 2026
samuel agbede,Devoxx UK 2026
stefan angelov,Devoxx UK 2026
olena babenko,Devoxx UK 2026
christopher batey,Devoxx UK 2026
james birnie,Devoxx UK 2026
merlin bogershausen,Devoxx UK 2026
sawyer bowerman,Devoxx UK 2026
anthony collins,Devoxx UK 2026
ian callaghan,Devoxx UK 2026
roberto carratala,Devoxx UK 2026
madhura chaganty,Devoxx UK 2026
alexander chatzizacharias,Devoxx UK 2026
josian chevalier,Devoxx UK 2026
cedric clyburn,Devoxx UK 2026
tom cools,Devoxx UK 2026
holly cummins,Devoxx UK 2026
anne currie,Devoxx UK 2026
benjamin dauvissat,Devoxx UK 2026
rahul de,Devoxx UK 2026
raphael de lio,Devoxx UK 2026
david denton,Devoxx UK 2026
iryna dohndorf,Devoxx UK 2026
kevin dubois,Devoxx UK 2026
thomas endres,Devoxx UK 2026
mark erikson,Devoxx UK 2026
artem fast,Devoxx UK 2026
kim fletcher,Devoxx UK 2026
vanessa formicola,Devoxx UK 2026
stephen galbraith,Devoxx UK 2026
daniel garnier moiroux,Devoxx UK 2026
trisha gee,Devoxx UK 2026
scott gerring,Devoxx UK 2026
serges goma,Devoxx UK 2026
horacio gonzalez,Devoxx UK 2026
matthias haeussler,Devoxx UK 2026
mark hazell,Devoxx UK 2026
ryan healey,Devoxx UK 2026
cheuk ting ho,Devoxx UK 2026
sander hoogendoorn,Devoxx UK 2026
marianne hoornenborg,Devoxx UK 2026
rob hopkins,Devoxx UK 2026
bilgin ibryam,Devoxx UK 2026
anupriya johari,Devoxx UK 2026
vojin jovanovic,Devoxx UK 2026
paula kennedy,Devoxx UK 2026
legare kerrison,Devoxx UK 2026
ramanpreet singh khinda,Devoxx UK 2026
fabian klemm,Devoxx UK 2026
michael krimgen,Devoxx UK 2026
olena kutsenko,Devoxx UK 2026
ian lawson,Devoxx UK 2026
josh long,Devoxx UK 2026
loic magnette,Devoxx UK 2026
artem makarov,Devoxx UK 2026
mihailo markovic,Devoxx UK 2026
jules may,Devoxx UK 2026
jonas mayer,Devoxx UK 2026
pietro mele,Devoxx UK 2026
paulo menon,Devoxx UK 2026
ana maria mihalceanu,Devoxx UK 2026
derek mortimer,Devoxx UK 2026
maarten mulders,Devoxx UK 2026
frank munz,Devoxx UK 2026
alexey naiden,Devoxx UK 2026
diana nanuti,Devoxx UK 2026
dennis nerush,Devoxx UK 2026
alexey nesterov,Devoxx UK 2026
bouke nijhuis,Devoxx UK 2026
anders noras,Devoxx UK 2026
gonzalo ortiz jaureguizar,Devoxx UK 2026
daniel oh,Devoxx UK 2026
pratik patel,Devoxx UK 2026
jose paumard,Devoxx UK 2026
stephane philippart,Devoxx UK 2026
steve poole,Devoxx UK 2026
piotr przyby,Devoxx UK 2026
victor rentea,Devoxx UK 2026
carly richmond,Devoxx UK 2026
simon ritter,Devoxx UK 2026
ixchel ruiz,Devoxx UK 2026
baruch sadogursky,Devoxx UK 2026
lennard schiefelbein,Devoxx UK 2026
simon schrottner,Devoxx UK 2026
marc schuh,Devoxx UK 2026
nate schutta,Devoxx UK 2026
melinda seckington,Devoxx UK 2026
oleg selajev,Devoxx UK 2026
gantigmaa selenge,Devoxx UK 2026
sven sellen,Devoxx UK 2026
filip srnec,Devoxx UK 2026
kate stanley,Devoxx UK 2026
pooja subramanian,Devoxx UK 2026
barbara teruggi,Devoxx UK 2026
heather thacker,Devoxx UK 2026
diana todea,Devoxx UK 2026
julien topcu,Devoxx UK 2026
simon vergauwen,Devoxx UK 2026
brian vermeer,Devoxx UK 2026
nitsan wakart,Devoxx UK 2026
christian woerz,Devoxx UK 2026
eoin woods,Devoxx UK 2026
thomas wuerthinger,Devoxx UK 2026
ananya kittane yogananda,Devoxx UK 2026
simone de gijt,Devoxx UK 2026
jonathan du mesnil de rochemont,Devoxx UK 2026
tim te beek,Devoxx UK 2026
marit van dijk,Devoxx UK 2026
adam bien,GeeCON 2026
adam dudczak,GeeCON 2026
adam warski,GeeCON 2026
agata kabat,GeeCON 2026
agnieszka lasyk,GeeCON 2026
ahmed hassanien,GeeCON 2026
alexander chatzizacharias,GeeCON 2026
annelore egger,GeeCON 2026
arjen poutsma,GeeCON 2026
artur keska,GeeCON 2026
artur skowronski,GeeCON 2026
aviva peisach,GeeCON 2026
baruch sadogursky,GeeCON 2026
christian tzolov,GeeCON 2026
dariusz jedrzejczyk,GeeCON 2026
dominik cebula,GeeCON 2026
dylan beattie,GeeCON 2026
emanuel trandafir,GeeCON 2026
francois martin,GeeCON 2026
gerrit grunwald,GeeCON 2026
ivar grimstad,GeeCON 2026
jakub nabrdalik,GeeCON 2026
johannes bechberger,GeeCON 2026
jonathan vila lopez,GeeCON 2026
josef goldstein,GeeCON 2026
julien topcu,GeeCON 2026
konrad sza kowski,GeeCON 2026
krzysztof debski,GeeCON 2026
lucia conde moreno,GeeCON 2026
marcin grzejszczak,GeeCON 2026
marcin kliks,GeeCON 2026
marcin apaj,GeeCON 2026
marit van dijk,GeeCON 2026
martin ladecky,GeeCON 2026
mateusz dykszak,GeeCON 2026
mateusz nalepa,GeeCON 2026
mete atamel,GeeCON 2026
mihaela gheorghe roman,GeeCON 2026
niek palm,GeeCON 2026
piotr askawiec,GeeCON 2026
piotr przyby,GeeCON 2026
rustam mehmandarov,GeeCON 2026
spencer gibb,GeeCON 2026
steve poole,GeeCON 2026
szymon sadowski,GeeCON 2026
thomas pierrain,GeeCON 2026
thomas sundberg,GeeCON 2026
tom akehurst,GeeCON 2026
tomas rehak,GeeCON 2026
tomer gabel,GeeCON 2026
yasmin dunsky,GeeCON 2026
azmir abdi,JAX 2026
marwan abu khalil,JAX 2026
pawel adaszewski,JAX 2026
sven amann,JAX 2026
mike amundsen,JAX 2026
stefan armbruster,JAX 2026
tom asel,JAX 2026
petr aubrecht,JAX 2026
christian bachler,JAX 2026
patrik baumann,JAX 2026
markus baumann,JAX 2026
patrick baumgartner,JAX 2026
thomas bayer,JAX 2026
viktor bekaj,JAX 2026
candide bekono,JAX 2026
konstantin belinski,JAX 2026
christian berg,JAX 2026
dennis berger,JAX 2026
georg berky,JAX 2026
sven bernhardt,JAX 2026
moritz besser,JAX 2026
patric betz,JAX 2026
adam bien,JAX 2026
winfried bittner,JAX 2026
stefan blum,JAX 2026
christian bobach,JAX 2026
adam boczek,JAX 2026
torsten b gh koster,JAX 2026
kirill boiarkin,JAX 2026
nils bokermann,JAX 2026
johannes h bondzio,JAX 2026
mathias boni,JAX 2026
elmar borgmeier,JAX 2026
hauke brammer,JAX 2026
susanne braun,JAX 2026
juan antonio brena moral,JAX 2026
ronald brill,JAX 2026
daniel buza,JAX 2026
samantha casler,JAX 2026
daniel chwat gogol,JAX 2026
katie clark,JAX 2026
jamie coleman,JAX 2026
adrian colyer,JAX 2026
hubert corr,JAX 2026
marcus crestani,JAX 2026
sebastian daschner,JAX 2026
eric dauenhauer,JAX 2026
john davies,JAX 2026
sean davis,JAX 2026
tim de buhr,JAX 2026
dagmar de haan,JAX 2026
christian dedek,JAX 2026
sven deichsel,JAX 2026
christian del monte,JAX 2026
chris demars,JAX 2026
erik demming,JAX 2026
marius dieckmann,JAX 2026
konstantin diener,JAX 2026
werner dietl,JAX 2026
zeljko dodlek,JAX 2026
michael dowden,JAX 2026
martine dowden,JAX 2026
patrick drechsler,JAX 2026
oliver drotbohm,JAX 2026
paul dubs,JAX 2026
damian dudziec,JAX 2026
ivan dugalic,JAX 2026
ingo duppe,JAX 2026
milen dyankov,JAX 2026
hendrik ebbers,JAX 2026
alexander ebbes,JAX 2026
werner eberling,JAX 2026
max edenharter,JAX 2026
jannis eickenroth,JAX 2026
peter eijgermans,JAX 2026
henning ellerweg,JAX 2026
axel emmer,JAX 2026
christoph engelbert,JAX 2026
nils engelke,JAX 2026
nico enking,JAX 2026
dan erez,JAX 2026
leon erkarslan,JAX 2026
lukas essig,JAX 2026
pascal euhus,JAX 2026
claire fautsch,JAX 2026
johannes feige,JAX 2026
sascha feldmann,JAX 2026
francois fernandes,JAX 2026
robin ferrari,JAX 2026
milena fluck,JAX 2026
marcel fluri,JAX 2026
bernd fondermann,JAX 2026
hergy fongue,JAX 2026
vanessa formicola,JAX 2026
christina framke,JAX 2026
maximilian franzke,JAX 2026
maurice freund,JAX 2026
uwe friedrichsen,JAX 2026
thilo frotscher,JAX 2026
juan fumero,JAX 2026
viktor gamov,JAX 2026
kai gellien,JAX 2026
igor gembula,JAX 2026
christian georg,JAX 2026
winfried gerlach,JAX 2026
steve gerstner,JAX 2026
mihaela gheorghe roman,JAX 2026
adam giemza,JAX 2026
robert glaser,JAX 2026
alena glogowski,JAX 2026
nishu goel,JAX 2026
brian goetz,JAX 2026
kevin goldsmith,JAX 2026
nikita golovko,JAX 2026
