norm_name,github_login,confidence,gh_name,gh_company,followers,method,resolved_at,recheck_after
dennis nerush,DennisNerush,HIGH,Dennis Nerush,,14,fullname+org,2026-06-28,
alexey nesterov,alek-sys,HIGH,Alexey Nesterov,@BeZeroCarbon ,362,fullname,2026-06-28,
anders noras,anoras,MED,Anders Norås,,35,fullname,2026-06-28,2026-09-26
gonzalo ortiz jaureguizar,gortiz,HIGH,Gonzalo Ortiz Jaureguizar,@startreedata,27,fullname,2026-06-28,
daniel oh,danieloh30,HIGH,Daniel Oh,IBM,195,fullname+org,2026-06-28,
pratik patel,pratik227,HIGH,Pratik Patel,,227,fullname+jvmrepo,2026-06-28,
jose paumard,JosePaumard,HIGH,José Paumard,Oracle,1465,fullname,2026-06-28,
stephane philippart,philippart-s,HIGH,Stéphane Philippart,OVHcloud,66,fullname,2026-06-28,
carly richmond,carlyrichmond,HIGH,Carly Richmond,@elastic,54,fullname,2026-06-28,
ixchel ruiz,IxchelNR,MED,Ixchel Navarrete Ruiz,Nestlé,1,fullname,2026-06-28,2026-09-26
lennard schiefelbein,lsc0498,MED,Lennard Schiefelbein,,0,fullname,2026-06-28,2026-09-26
simon schrottner,aepfli,HIGH,Simon Schrottner,,37,fullname+jvmrepo,2026-06-28,
marc schuh,MarcSchuhTNG,HIGH,Marc Schuh,TNG Technology Consulting GmbH,2,fullname,2026-06-28,
nate schutta,ntschutta,HIGH,Nate Schutta,Thoughtworks,163,fullname,2026-06-28,
melinda seckington,mseckington,MED,Melinda Seckington,,8,fullname,2026-06-28,2026-09-26
oleg selajev,shelajev,HIGH,Oleg Šelajev,https://www.docker.com,385,fullname,2026-06-28,
gantigmaa selenge,tinaselenge,HIGH,Gantigmaa Selenge,Red Hat,12,fullname+jvmrepo,2026-06-28,
filip srnec,ib-fsrnec,HIGH,Filip Srnec,@infobip ,1,fullname,2026-06-28,
kate stanley,katheris,HIGH,Kate Stanley,,114,fullname+org,2026-06-28,
pooja subramanian,PoojaSubramanian,MED,Pooja Subramanian,,3,fullname,2026-06-28,2026-09-26
barbara teruggi,barbara-teruggi,MED,Barbara Teruggi,,1,fullname-ascii,2026-06-28,2026-09-26
heather thacker,hhthacker,HIGH,Heather Thacker,,75,fullname+jvmrepo,2026-06-28,
simon vergauwen,nomisRev,HIGH,Simon Vergauwen,JetBrains,462,fullname,2026-06-28,
nitsan wakart,nitsanw,HIGH,Nitsan Wakart,,477,fullname+jvmrepo,2026-06-28,
christian woerz,chwoerz,HIGH,Christian Woerz,,52,alias,2026-06-28,
eoin woods,eoinwoods,HIGH,Eoin Woods,Artechra,17,fullname,2026-06-28,
thomas wuerthinger,thomaswue,HIGH,Thomas Wuerthinger,Oracle Labs,313,fullname,2026-06-28,
ananya kittane yogananda,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
jonathan du mesnil de rochemont,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
tim te beek,timtebeek,HIGH,Tim te Beek,@moderneinc ,282,fullname,2026-06-28,
adam dudczak,maneo,HIGH,Adam Dudczak,badlibrarians inc.,32,fullname+jvmrepo,2026-06-28,
ahmed hassanien,gabrianoo,HIGH,Ahmed Hassanien,@EPAM,27,fullname,2026-06-28,
arjen poutsma,poutsma,HIGH,Arjen Poutsma,,412,fullname+jvmrepo,2026-06-28,
artur keska,ArturKeska-Xnet,HIGH,Artur Keska,Xnet Communications Polska,1,fullname-ascii+jvmrepo,2026-06-28,
artur skowronski,ArturSkowronski,HIGH,Artur Skowronski,@VirtusLab,65,fullname,2026-06-28,
